[2025-12-10 12:43:18,005]asyncio - DEBUG - Using selector: KqueueSelector
[2025-12-10 12:43:44,917]root - INFO - Entered the start_data_ingestion method of TrainPipeline class
[2025-12-10 12:43:44,917]root - INFO - Getting the data from mongoDB
[2025-12-10 12:43:44,917]root - INFO - Entered_initiate_data_ingestion method of Data_Ingestion class
[2025-12-10 12:43:44,917]root - INFO - Exportin data from Mongodb
[2025-12-10 12:43:44,917]root - ERROR - Failed to connect to MongoDB
[2025-12-10 12:43:44,917]root - ERROR - Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/configuration/mongo_db_connection.py] at a line number [28]: Environment variable 'MONGODB_URL' not set!
[2025-12-10 12:43:44,917]root - ERROR - Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/data_access/proj1_data.py] at a line number [20]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/configuration/mongo_db_connection.py] at a line number [28]: Environment variable 'MONGODB_URL' not set!
[2025-12-10 12:43:44,918]root - ERROR - Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/components/data_ingestion.py] at a line number [35]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/data_access/proj1_data.py] at a line number [20]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/configuration/mongo_db_connection.py] at a line number [28]: Environment variable 'MONGODB_URL' not set!
[2025-12-10 12:43:44,918]root - ERROR - Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/components/data_ingestion.py] at a line number [86]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/components/data_ingestion.py] at a line number [35]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/data_access/proj1_data.py] at a line number [20]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/configuration/mongo_db_connection.py] at a line number [28]: Environment variable 'MONGODB_URL' not set!
[2025-12-10 12:43:44,918]root - ERROR - Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/pipeline/training_pipeline.py] at a line number [40]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/components/data_ingestion.py] at a line number [86]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/components/data_ingestion.py] at a line number [35]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/data_access/proj1_data.py] at a line number [20]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/configuration/mongo_db_connection.py] at a line number [28]: Environment variable 'MONGODB_URL' not set!
[2025-12-10 12:43:44,918]root - ERROR - Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/pipeline/training_pipeline.py] at a line number [125]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/pipeline/training_pipeline.py] at a line number [40]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/components/data_ingestion.py] at a line number [86]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/components/data_ingestion.py] at a line number [35]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/data_access/proj1_data.py] at a line number [20]: Error occured in python script: [/Users/spkunwar/Desktop/project1/MLOps_project1/src/configuration/mongo_db_connection.py] at a line number [28]: Environment variable 'MONGODB_URL' not set!
